 code,quantity,option_id,warehouse_id,opening_stock,cost,expiry,serial
LONS001,560.15,,1,1,,,
OFF016,406.7,,1,1,,,
SHNW001,12.7,,1,1,,,
OFF018,11.9,,1,1,,,
RUMB001,44.65,,1,1,,,
RONB001,62.3,,1,1,,,
BRKW002,8.7,,1,1,,,
BRKW003,15.2,,1,1,,,
BRKB004,36.62,,1,1,,,
BRKW004,48.1,,1,1,,,
OFF001,204.4,,1,1,,,
OFF002,365.87,,1,1,,,
OFF003,318.05,,1,1,,,
OFF004,103.35,,1,1,,,
OFF006,453.25,,1,1,,,
OFF012,55,,1,1,,,
OFF013,80.6,,1,1,,,
OFF014,47.4,,1,1,,,
OFF015,10.45,,1,1,,,
OFF017,53.9,,1,1,,,
OFF019,5.55,,1,1,,,
OFF010,74.1,,1,1,,,
OFF011,24.05,,1,1,,,
